run,average_distance_travelled_per_team,average_distance_travelled_per_game,total_distance_travelled,longest_distance_travelled_by_a_team,fixture_with_longest_distance
4267,4927,1110,177357,Sevilla - 9074,Sporting CP (lisbon) v CFR Cluj (cluj-napoca) - 2796.0
4268,5113,1136,184078,Galatasaray - 12780,Rangers (glasgow) v Galatasaray (istanbul) - 2912.0
4269,5476,1240,197121,Bodø/Glimt - 10507,Bodø/Glimt (bodø) v Olympiacos (piraeus) - 3309.0
4270,5936,1340,213681,Qarabağ - 13727,Qarabağ (baku) v Manchester United (manchester) - 4112.0
4271,5723,1295,206018,Qarabağ - 17209,Sevilla (seville) v Qarabağ (baku) - 4767.0
4272,5549,1250,199759,Benfica - 11662,Pyunik (yerevan) v Benfica (lisbon) - 4538.0
4273,5388,1211,193968,Fenerbahçe - 9514,Sevilla (seville) v Fenerbahçe (istanbul) - 3019.0
4274,4990,1124,179633,Galatasaray - 9575,Galatasaray (istanbul) v Celtic (glasgow) - 2912.0
4275,5011,1138,180394,Sporting CP - 9604,Olympiacos (piraeus) v Liverpool (liverpool) - 2663.0
4276,4939,1119,177816,Fenerbahçe - 10897,Fenerbahçe (istanbul) v Braga (braga) - 3103.0
4277,5730,1299,206292,APOEL - 10299,Tottenham Hotspur (london) v APOEL (nicosia) - 3218.0
4278,5185,1171,186647,Olympiacos - 10912,Real Betis (seville) v Fenerbahçe (istanbul) - 3019.0
4279,5832,1337,209949,Real Betis - 11217,Sevilla (seville) v Fenerbahçe (istanbul) - 3019.0
4280,4519,1018,162680,Rangers - 7787,Sevilla (seville) v Ferencváros (budapest) - 2326.0
4281,5131,1163,184709,Sevilla - 10580,Beşiktaş (istanbul) v Sevilla (seville) - 3019.0
4282,5703,1277,205307,H. Beer Sheva - 15781,Liverpool (liverpool) v H. Beer Sheva (beer sheva) - 3890.0
4283,4815,1091,173327,Bodø/Glimt - 11338,Barcelona (barcelona) v Bodø/Glimt (bodø) - 2974.0
4284,5691,1278,204861,Bodø/Glimt - 13425,Real Betis (seville) v Bodø/Glimt (bodø) - 3562.0
4285,5933,1319,213594,Fenerbahçe - 13061,Qarabağ (baku) v Benfica (lisbon) - 4968.0
4286,5255,1196,189177,H. Beer Sheva - 13591,Newcastle (newcastle upon tyne) v H. Beer Sheva (beer sheva) - 3886.0
